Disease,Description
Left Main Coronary Artery Disease,"The left main coronary artery (LMCA) emerges from the left coronary cusp and bifurcates into the left anterior descending (LAD) and left circumflex (LCX) coronary arteries. As a very large volume of the myocardium is supplied by the left primary artery i.e. LMCA, occlusion is always fatal, occasionally resulting in cardiogenic shock. Often, during left main occlusion, a left bundle branch block is seen on the ECG but these changes can also be seen from an anterior myocardial infarction. Typical congenital absence of the left principal is common and a benign finding (the LAD and LCX arise separately from the left coronary cusp)."
Lewy Body Dementia,"The condition known as Lewy body dementia (LBD) is characterized by abnormal accumulation of the protein alpha-synuclein in the brain. Lewy body dementia is a progressive condition, in which symptoms appear gradually and worsen over time. The chemicals in the brain are affected by these deposits, known as Lewy bodies, and these changes can result in issues with thought, behavior, movement, and mood."
Lactose Intolerance,"Lactose intolerance is a digestive system disorder that occurs when the body cannot digest lactose, a sugar compound found in milk and other dairy products. This happens due to a deficiency or absence of lactase, an enzyme produced in the small intestine that breaks down lactose into simpler sugars that can be absorbed into the bloodstream."
Meningitis,"Meningitis is a potentially life-threatening infection where the protective membranes, called the meninges, surrounding your brain and spinal cord get inflamed. This inflammation can disrupt the normal functioning of the nervous system, leading to serious complications. Meningitis can be very serious and requires immediate medical attention. Most commonly, meningitis is caused by a viral or bacterial infection. Some common bacteria that cause meningitis areNeisseria meningitidis, Streptococcus pneumoniae, and Haemophilus influenzae. Fungal meningitis is less common and usually happens to people with weak immune systems."
Measles,"Measles, also called Rubeola, is a highly contagious, acute, and febrile respiratory viral disease. It is a viral disease that can prove serious for young children, but it is easily preventable by the measles vaccine."
Myocardial Infarction,"Myocardial Infarction (MI), also known as heart attack is caused when blood supply decreases or completely stops to a portion of the myocardium (heart muscle). A heart attack may be silent and go unnoticed; or else it could be fatal resulting in hemodynamic deterioration and sudden death."
Multiple Sclerosis,"Multiple Sclerosis (MS) is a chronic illness that affects the central nervous system (CNS), which includes the brain and spinal cord. It happens when the immune system mistakenly attacks the protective covering of nerve fibres, called myelin, leading to inflammation and damage. This disrupts the normal transmission of electrical signals between the brain and the rest of the body, causing a range of neurological symptoms."
Myocarditis,"Myocarditis or myocardium is a condition of inflammation of the heart muscle. The heart's ability to pump blood may be harmed as a result of the inflammation. Chest pain, shortness of breath, and rapid or irregular heartbeats are all symptoms of myocarditis (arrhythmias)."
Malaria,"Malaria is a mosquito-borne infectious disease caused by Plasmodium parasites, which are transmitted to humans through the bite of infected female Anopheles mosquitoes."
Menieres,"Meniere's disease (also known as idiopathic endolymphatic hydrops) is one of the most prevalent causes of inner ear dizziness. Most of the time, only one ear (unilateral) is affected, although both ears (bilateral) might be impacted. Ménière's disease usually affects persons between the ages of 40 and 60. Vertigo (attacks of a spinning sensation), hearing loss, tinnitus (a roaring, buzzing, or ringing sound in the ear), and a sensation of fullness in the afflicted ear are all possible symptoms. These episodes might last from twenty minutes to twelve hours."
Multiple Myeloma,Multiple myeloma is a type ofblood cancer.A plasma cell is a kind of white blood cell that produces antibodies that help the body fight diseases. These cells multiply abnormally when you have multiple myeloma. They release excessive protein (called immunoglobulin) into your bones and blood. It builds throughout the body and damages the organs. Plasma cells outweigh normal blood cells in the bones. They also release chemicals that cause other cells to attack the bones. The vulnerable points in the bones caused are called lytic lesions. Plasma cells pour out of your bone marrow and spread as the multiple myeloma progresses.
Muscular Dystrophy,"Muscular Dystrophy (MD) is a term used for a group of genetic disorders that cause gradual weakness and breakdown of the muscles responsible for movement. Over time, the muscles start to weaken, which leads to a decrease in muscle mass and function. MD mainly affects the skeletal muscles, but it can also affect other organs like the heart and the respiratory system. The severity and speed at which the disease progresses depend on the specific type of muscular dystrophy."
Metabolic Syndrome,"Metabolic syndrome is not any condition, it's a combination of risk factors such ashigh blood pressure,high blood sugar,hightriglycerides, low HDL (good) cholesterol and belly fat. Metabolic syndrome, in particular, can result in plaque formation in the arteries, a condition known asatherosclerosis.Lipids,smooth muscle cells,macophage foam cells,and other chemicals adhere to the artery walls, and the arteries become blocked and brittle resulting in aheart attackor astroke.The best part is that metabolic syndrome is generally manageable with lifestyle changes and Diet."
Monkeypox Disease,"Monkeypox (MPX) is a rare viral infection related to smallpox and cowpox. Monkeypox was discovered in 1958 among African monkey colonies. The first confirmed human case was found in the Democratic Republic of the Congo in 1970. Origin of monkeypox is still unknown, although African rodents are suspected of playing a part in monkeypox transmission."
Myasthenia Gravis,"Myasthenia Gravis (MG) is anautoimmune conditionthat causes signal transmission issues at the neuromuscular junction. As a result, the muscles get tired fast and improve after rest."
Mumps,"Mumps is a contagious viral infection that primarily affects the salivary glands, especially the parotid glands located near the jaw."
Myositis,"Myositis is a rare condition causing muscle inflammation. In this chronic condition, the body's immune system misinterprets the muscle cells as intruders and targets them thus weakening and destroying them. It is a rareautoimmune conditionthat develops slowly over time and causes painful muscles."
Nasal Cancer,"Nasal Cancer is a rare type of cancer that develops in the nasal cavity or paranasal sinuses, which are air-filled spaces around the nose."
Nonalcoholic Fatty Liver Disease,"Nonalcoholic Fatty Liver Disease (NAFLD) serves as a comprehensive term encompassing various liver conditions that impact individuals who have minimal to no alcohol consumption. As the name suggests, the primary hallmark of NAFLD is an excessive accumulation of fat within liver cells."
Nipah Virus Infection,"The Nipah Virus (NiV) is a zoonotic virus (animal to human) that may be transmitted through food that is contaminated or directly between people. NiV belongs to the genus Henipavirus in the family Paramyxoviridae. Fruit bats, commonly known as flying foxes, are the NiV's natural animal host reservoir. Nipah virus is also reported to infect pigs and humans. If an infected animal or its bodily fluids (such as saliva or urine) come into touch with a human, they may get infected as well. This initial spread from an animal to a person is referred to as a spillover occurrence. NiV can also transmit from person to person once it has infected humans. NiV infection is linked to encephalitis, or brain swelling, and can cause mild or severe illness and sometimes lead to death."
Osteoarthritis,"Osteoarthritis is a degenerative joint disease where the protective cartilage at the ends of bones gradually wears down, leading to pain and reduced joint function."
Osteopenia,"Osteopenia is weakening of the bones caused by a reduction of bone mineral density (BMD). It affects people over the age of 50, particularly women. Although there are no symptoms or indicators of osteoporosis, a painless screening test can be used to assess bone strength. Changing your lifestyle can help you maintain bone density and avoid osteoporosis. Let us look at the most common symptoms, causes, risk factors, diagnosis and treatment."
Osteomyelitis,Osteomyelitis (OM) is a bone infection. It is an inflammation or swelling of bone tissue. The infection can spread to a bone by spreading through the blood circulation or from nearby infected tissues. Bone infection can also occur if an injury exposes the bone to germs.
Ovarian Cancer,Cancer develops when abnormal cells in the body begin to multiply uncontrollably. Ovarian cancer is the uncontrolled increase of abnormal cells in the ovaries or the related areas of the fallopian tubes and the peritoneum. It can invade and destroy healthy body tissues. This abnormal cell growth can be problematic and commonly leads to the development of tumors.
Osteoporosis,"Osteoporosis is a condition that silently diminishes the strength of your bones, increasing the risk of experiencing bone fractures. Taking measures such as appropriate treatments and engaging in physical activity can help prevent the loss of bone density."
Osteomalacia,"The word ""osteomalacia"" describes a condition in which the bones soften significantly due to a decreased ability to harden or mineralize. Minerals such as calcium and phosphorus are found in bones and provide structure and stability. Calcium and phosphorus levels in the body are regulated by vitamin D."
Otitis Media,"Otitis media is a middle ear infection or inflammation. A cold, sore throat or respiratory disease can lead to otitis media. This infection causes inflammation and fluid accumulation in the ear's interior spaces. The middle ear is a hollow area behind the eardrum filled with air, and it has vibrating bones that convert external sound into meaningful impulses for the brain."
Osteogenesis Imperfecta,"Osteogenesis Imperfecta (OI), often referred to as ""brittle bone disease,"" is a genetic disorder characterized by fragile bones that break easily. This condition is caused by defective connective tissue, usually due to a lack of or insufficient quality of Type I collagen. Understanding the causes, symptoms, and treatments for osteogenesis imperfecta is crucial for managing the condition effectively."
Psoriasis,"Psoriasis is a chronic autoimmune skin condition where the immune system speeds up skin cell production, causing cells to build up on the surface of the skin."
Parkinson's Disease,Parkinson�s Disease is a progressive neurological disorder that affects movement due to the loss of dopamine-producing brain cells.
Periodontitis,"Periodontitis, also called dental pyorrhea, is a gum disease. It is a chronic inflammatory condition affecting the oral mucosa around the teeth and is caused by bacterial microorganisms. It is a gum infection where the gums pull away from the teeth, resulting in bone loss, loosening of teeth, or complete loss of teeth."
Pleural Effusion,"A pleural effusion is a buildup of fluid around the lungs caused by various medical disorders. While draining the fluid may be necessary, the doctor will also address the underlying cause."
Pancreatic Cancer,"Pancreatic cancer occurs when unhealthy cancer cells develop and multiply within the tissues of the pancreas. It is difficult to diagnose pancreatic cancer at an early stage since the cancer has no specific signs and symptoms. Due to this, many cancers are diagnosed at an advanced stage when the illness is in its severe form, providing limited treatment options."
Pericarditis,"Pericarditis is an inflammation of the pericardium, the thin, double-layered sac that surrounds and protects the heart."
Pelvic Inflammatory Disease,"Pelvic Inflammatory Disease is an infection of the female reproductive organs, including the uterus, fallopian tubes, and ovaries."
Pancreatitis,"Pancreatitis is inflammation of the pancreas, causing severe abdominal pain, nausea, and vomiting. It can be acute or chronic, often linked to alcohol consumption or gallstones. Treatment includes pain management, fluids, and sometimes surgery. Early diagnosis is crucial for better outcomes."
Prostate Cancer,"Prostate cancer is a type of cancer that develops in the prostate. In males, the prostate is a small walnut-shaped gland that generates seminal fluid, which nourishes and transports sperm."
Peptic Ulcer,"Peptic Ulcer is a sore or open lesion that forms in the lining of the stomach, lower esophagus, or small intestine, usually due to acid damage."
Polycythemia,"Polycythemia vera is a form of blood disorder, known as myeloproliferative neoplasm (MPN). It causes your bone marrow to produce an abnormally high amount of red blood cells. These extra cells cause thickening of the blood, delaying its flow and even causing major complications likeblood clots."
Pleurisy,"Pleurisy is an inflammation of the pleura, the thin membrane that surrounds the lungs and lines the chest cavity."
Pityriasis Rosea,"Pityriasis rosea is a common skin condition that often perplexes both patients and healthcare providers due to its distinctive presentation and uncertain etiology. We provides a comprehensive overview of the symptoms, causes, diagnosis, and treatment options for those affected by this condition."
Purpura,Purpura is Discoloration of skin or mucous membrane due to extravasation of blood from vessels as well as from damage or lack of support of vasculature.They could appear brownish-black on people with a dark skin and reddish-purple on people with lighter skin. A blood spot or a bruise may arise under your skin if you have a purpura.
Polio,"Polio, or poliomyelitis, affects the nerves in the spinal cord and brainstem. It can cause paralysis and breathing difficulties in severe cases. Vaccination is the only prevention for this disease, as there is no known cure."
Polyps,"Polyps are small tissue growths that resemble tiny, flat lumps or tiny stems and are mushroom-like. The majority of polyps have a width of less than half an inch. The uterus, intestines, and nose are common places for polyps growth."
Porphyria,"Porphyrias are caused due to excessive production of accretion of Porphyrins, which are synthesized mainly in the liver or bone marrow. The treatment depends on the type of Porphyria and the symptoms. It is required for the function of hemoglobin, a red blood cell protein that binds iron and transports oxygen to organs and tissues. Significant issues might arise from high porphyrin levels.They are Special Interest to the Dermatologist due to their Photosynthesizing Properties"
Polycystic Ovary Disease,Polycystic Ovary Disease is a hormonal disorder in women where the ovaries develop multiple small cysts and hormone levels become imbalanced.
Perimenopause,"Perimenopause (also known as the menopause transition) is the time when the body begins to prepare formenopause.The ovaries begin producing fewer hormones during this shift, making the menstrual cycle inconsistent or irregular. The body is nearing the end of its reproductive years at this point."
Psoriatic Arthritis,"Psoriasisis an autoimmune disease that causes the body's immune system to attack the skin's cells, resulting in scaly red and white areas. Psoriatic arthritis is an inflammatory disorder in which the immune system begins to create inflammation in the joints, resulting in painful, stiff, and swollen joints in a small percentage of people with psoriasis. Psoriatic arthritis symptoms, like psoriasis, vary in intensity from person to person.Spondylitisor psoriatic arthritis of the spine, causes stiffness in the back or neck and difficulties bending. It commonly manifests itself in adults between the ages of 30 and 50, but it can begin as early as childhood. Both men and women are equally in danger. Children with psoriatic arthritis are at risk of getting uveitis (inflammation of the middle layer of the eye). Psoriatic arthritis affects around 15% of people who have psoriasis.Arthritismight sometimes emerge before the skin problem."
Plague,"The plague is a severe bacterial infection spread mainly through fleas. Yersinia pestis, the bacterium that causes plague, resides in small rodents, most commonly found in Rural and semi-rural locations. People who are bitten by fleas that have eaten infected rodents or humans who handle contaminated animals get the bacterium. If not treated promptly with antibiotics, it can be fatal."
Pertussis,"Pertussis disease, also called whooping cough, is an extremely communicable disease. The bacteria Bordetella pertussis causes pertussis disease. Whooping Cough is transmissible from one person to another through large respiratory droplets produced by coughing or sneezing. These droplets contain bacteria, which produce pertussis toxins."
Peyronie's Disease,"Nonalcoholic Fatty Liver Disease (NAFLD) serves as a comprehensive term encompassing various liver conditions that impact individuals who have minimal to no alcohol consumption. As the name suggests, the primary hallmark of NAFLD is an excessive accumulation of fat within liver cells."
Ringworm Infection,"Ringworm Infection is a common fungal skin infection that causes a ring-shaped, itchy rash on the skin, hair, or nails."
Rabies,"Rabies is a deadly viral disease that affects the central nervous system, causing inflammation of the brain and spinal cord."
Rickets,"Rickets is a bone development disorder in children caused mainly by a deficiency of vitamin D, calcium, or phosphate."
Rheumatic Fever,"Rheumatic fever (RF) is an autoimmune inflammatory condition caused ifstrep throator scarlet fever is not treated properly. An infection brings on scarlet fever and strep throat with streptococcus bacteria. Children aged 5 to 15 are most commonly affected by rheumatic fever. However, both adults and younger children can get it."
Restless Leg Syndrome,"Restless Leg Syndrome (RLS) is a neurological disorder characterized by an overwhelming urge to move the legs, typically accompanied by uncomfortable sensations. These sensations are often described as creeping, crawling, tingling, or pulling. While these symptoms primarily occur in the legs, they can also manifest in other parts of the body, significantly affecting the quality of life."
Reiters Syndrome,"Reiter's syndrome, also known as reactive arthritis, is a type of joint pain and swelling caused by an infection in another part of the body, most commonly in the genitalia, urinary tract, or intestines."
Rubella,"Rubella, also called German measles or three-day measles, is an infectious viral disease which is distinguished by a characteristic red rash. Most people experience minor or no symptoms from this infection. However, it can pose severe problems for newborn babies if their mothers become infected during pregnancy."
Rosacea,"Rosacea is a skin condition that causes facial flushing and enlarged facial blood vessels. Small, pus-filled lumps may appear as well. These signs and symptoms may appear for several weeks or months before disappearing. Rosacea can be confused with acne, other skin conditions, or natural redness. Rosacea is a common condition that affects between 1% and 2% of the population."
Scabies,Scabies is a contagious skin infestation caused by tiny mites (Sarcoptes scabiei) that burrow into the skin.
Syphilis,"Syphilis is a sexually transmitted bacterial infection and treponema pallidum is the bacteria that causes it. Syphilis can also be passed from mother to baby during pregnancy, during intercourse, and by sharing needles and injecting equipment. Sharing meals, hugging, or using the same bathroom as someone with syphilis does not spread the disease. Syphilis can be difficult to detect. It is possible to have it for years without displaying any symptoms. But the earlier syphilis is identified, however, is better. Syphilis that is left untreated for a long time can compromise important organs such as the heart and brain. Syphilis can be cured with antibiotics, but it's critical to get diagnosed and treated as soon as possible since untreated syphilis can cause long-term health issues like disability, neurological damage, and even death"
Sepsis,"Sepsisis a severe response to infection, causing organ failure and tissue damage. Immune chemicals trigger inflammation, leading to blood clotting and reduced blood flow, harming organs."
Strep Throat,Strep Throat is a bacterial infection of the throat and tonsils caused by Group A Streptococcus bacteria.
Spondylosis,"Spondylosis is a degenerative condition of the spine caused by age-related wear and tear of the spinal discs, vertebrae, and joints."
Sickle Cell Anemia,"Sickle cell anemia is one of the sickle cell diseases that are hereditary illnesses. It has an impact on the structure of red blood cells, which transport oxygen throughout the body."
Skin Cancer,"Skin cancer, or skin neoplasm, is the uncontrolled growth of cells in the epidermis. The harmful UV radiation from the sun causes mutations in the DNA of skin cells, leading to genetic changes that result in faster cell division than normal, which then forms malignant tumors. Skin malignancy usually starts in the epidermis, which is made up of three main types of cells: squamous cells, basal cells, and melanocytes. Skin melanoma, a type of skin cancer, can develop from melanocytes, the pigment-producing cells in the skin."
Sexually Transmitted Diseases,"Sexually Transmitted Diseases (STDs) are infections that are mainly spread through sexual contact, including vaginal, anal, or oral sex."
Scleroderma,"Systemic sclerosis, also referred to as scleroderma, is a group of diseases that cause the skin to tighten and harden. Additionally, it might affect the digestive system, internal organs, and blood vessels."
Scurvy,"Scurvy disease ,  a result of prolonged vitamin C deficiency, is linked to socioeconomic status and health issues likecancerorkidney diseasesarising from inadequate dietary intake or malabsorption."
Swine Flu,"Swine Flu is a respiratory illness caused by the influenza A (H1N1) virus, which originally spread from pigs to humans but now spreads mainly between people."
Scarlet Fever,"Scarlet fever, also known as scarlatina, is a bacterial infection caused by group A Streptococcus bacteria. It typically occurs in children and is characterized by symptoms such as:"
Scalp Psoriasis,"Psoriasis is a common chronic, non-contagious and autoimmune skin disease. It is characterised by red, scaly, swollen patches on the skin (plaques), often seen on the scalp."
Salmonella Infection,"Salmonella infection (salmonellosis) is a frequent bacterial infection of the intestine. Salmonella germs are commonly found in the intestines of animals and humans and are excreted through feces (feces). Humans are most commonly infected by contaminated water or food.Salmonella infection might cause no symptoms in some persons. Within 8 to 72 hours of exposure, the majority of persons havediarrhea,fever,andstomach (abdominal) pains.Without special therapy, most healthy people recover in a few days to a week.Diarrhea can induce severe dehydration in rare circumstances, necessitating immediate medical intervention. If the infection spreads beyond the intestines, life-threatening consequences may occur."
Swimmer's Ear,"Otitis externa is another name for a swimmer's ear. It's usually triggered by water that lingers in the ear, which promotes the growth of germs by producing a moist environment. By harming the delicate layer of skin lining your ear canal, sticking your fingers, cotton swabs, or other things in your ears can also result in a swimmer's ear. A kid's usual ear infection after a cold differs from a swimmer's ear. The swimmer's ear is typically treatable with eardrops, and early care can help avoid complications and more severe infections."
Sciatica,"Sciatica is a condition where pain radiates along the sciatic nerve, which runs from the lower back through the hips, buttocks, and down each leg."
Scoliosis,"Scoliosis is an abnormal curvature of the spine, often forming an ""S"" or ""C"" shape. While not always obvious, it may cause leaning or uneven shoulders due to the curvature. Treatment is usually unnecessary as the curve often only progresses significantly."
Small Pox,"The variola virus, which only affects humans, is responsible for smallpox. The variola virus has been eliminated thanks to a careful immunization program. Smallpox is a potentially fatal infection spread through human contact and is highly infectious. It is often spread by direct touch with an infected person or through contact with the fluids from a patient's rash. The best way to avoid smallpox is to get vaccinated as soon as possible after exposure because a report suggests that 30% of smallpox cases are fatal."
Spinal Stenosis,"A narrowing of the spinal canal at one or more sites through which nerves pass is known as spinal canal stenosis. The spinal cord or nerves that originate from these narrowed spinal spaces get compressed which leads to pain, cramping and weakness. When standing or walking, a person experiences excruciating discomfort in the legs, calf muscles, or lower back. Walking up or down a slope, ramp, or steps may cause pain to worsen more quickly. Usually, hunching over posture  can ease the pain."
Typhoid,Typhoid (typhoid fever) is a bacterial infection caused by Salmonella typhi that spreads through contaminated food and water.
Thalassemia,"Thalassemia is the most common genetic blood disorder, where the production of hemoglobin is decreased, leading to anemia. Hemoglobin (Hb) is an iron-containing protein in the red blood cells, responsible for carrying oxygen to the body tissues and removing carbon dioxide from the lungs. It is made up of two proteins – alpha and beta. In thalassemia, the body is unable to produce enough of these proteins, affecting the development of red blood cells and resulting in anemia, which starts in childhood and continues throughout life."
Tuberculosis,Tuberculosis (TB) is a contagious bacterial infection caused by Mycobacterium tuberculosis that mainly affects the lungs but can also affect other parts of the body.
Type 2 Diabetes,Type 2 diabetes (T2D) is a chronicmetabolicdisease characterized by high blood sugar levels due to insulin resistance and inadequate insulin production.
Testicular Cancer,"Testicular Cancer is a type of cancer that develops in the testicles, which are part of the male reproductive system responsible for producing sperm and hormones."
Throat Cancer,"Throat cancer starts in the larynx, throat, vocal cords, or tonsils. It can involve thethyroidoresophagusand often affects flat cells in the throat lining."
Tetanus,"Tetanus, also called trismus, is a serious infection related to the nervous system. It is caused due to toxin-producing bacteria called Clostridium tetani.Breathing problemsandmuscle spasmsare caused by this condition, particularly in the neck and jaw muscles. It is also known as Lockjaw."
Thrombophlebitis,"Thrombophlebitis is inflammation in a vein due to blood clots, often causing pain and tenderness. This condition typically occurs whenblood clotsblock one or more veins, leading to swelling and discomfort."
Trigeminal Neuralgia,"Trigeminal neuralgia, commonly known as tic douloureux, is a condition caused by severe facial pain that can interfere with daily tasks. Simple actions like chewing, talking, smiling, brushing your teeth, or shaving can cause momentary bouts of severe pain. It often affects only one side of the face and usually affects the right side more than the left. Although there is no permanent cure for trigeminal neuralgia, there are treatments to reduce the excruciating pain."
Tetralogy of Fallot,Tetralogy of Fallot is a rare disorder caused by a combination of four congenital heart defects. These cardiac structural defects allow oxygen-depleted blood to flow out of the heart and throughout the rest of the body. Tetralogy of Fallot causes blue-tinged skin in infants and children due to a lack of oxygen in their blood.
Toxoplasmosis,"One of the most prevalent parasites in the world, Toxoplasma gondii, causes the disease toxoplasmosis. Typically, infection results from consuming tainted undercooked meat, coming into contact with contaminated cat faeces, or mother-to-child transmission during pregnancy."
Tendinitis,"Tendinitis is an inflammation of the sturdy fibers that connect a muscle to a bone through a tendon. Tendinopathy is a word commonly used to describe tendinitis. Injury, trauma, or joint overuse are the usual causes of tendinitis. Common sites for tendinitis are the elbows, heel, shoulder, and wrist."
Thrombosis,"Thrombosis is a medical condition characterized by the formation of blood clots within blood vessels. If not properly managed, it can pose significant health risks. This article aims to elucidate the causes, symptoms, risk factors, and treatment options for thrombosis, with a focus on both deep vein thrombosis (DVT) and pulmonary embolism (PE)."
Tapeworm Infection,"Tapeworm Infection is an intestinal parasitic infection caused by tapeworms, which are flat worms that live in the digestive tract."
Tennis Elbow,"Tennis Elbow, also known as t elbow or lateral epicondylitis, is a painful strain condition affecting the elbow. While commonly associated with tennis and other racquet sports, it can also occur due to various other sports or repetitive activities. The tendons that attach the forearm muscles to the outside of the elbow are irritated or, in rare instances, microtorn in this condition. The repetitive actions involved in these activities can lead to damage to the forearm muscles and tendons, causing soreness and stiffness on the outer side of the elbow."
Thyroid Cancer,Thyroid cancer is a cancer disease in which abnormal cells grow in the thyroid tissue. Cancer begins in the thyroid gland when the normal cells in the gland multiply abnormally forming a mass called a tumour with capability to metastasize to other parts of the body.
Thyroid Disease,"A small gland, the thyroid in the human body is found in the neck just below Adam's apple. It is an endocrine gland that performs the important function of releasing hormones that increase the levels of oxygen needed for important body functions and more protein production. In this way, the thyroid plays a crucial role in regulating the metabolic rate of the organs in the body."
Tinea Pedis,"Tinea pedis (also known as foot ringworm or athlete's foot) is an infection of the feet involving the soles, interdigital clefts of toes, and nails due to a dermatophyte fungus. This condition is common in people with highly sweaty feet confined in tight-fitting shoes."
Turner Syndrome,"Turner syndrome affects females when one X chromosome is absent or incomplete, causing various medical and developmental problems."
Thoracoabdominal Aortic Aneurysm,Thoracoabdominal aortic aneurysm (also called TAAA or T triple-A) is swelling and weakness in the aorta's wall that is extended from the chest into the abdomen. The aorta is the body's major blood vessel that carries blood from the heart to the rest of the body. A thoracoabdominal aortic aneurysm can rupture which results in life-threatening and uncontrollable bleeding.
Tooth Decay,"A cavity is a hole in a tooth caused by dental decay. Cavities develop when the tough enamel coating on your teeth is worn away (eroded) by the acids in your mouth. Tooth decay orDental cariesare the damage of the teeth, mostly in the back teeth; for example in molars and premolars there are many pits and grooves that are helpful for food pdiseases to accumulate.A cavity can happen to anyone. Young children are susceptible to ""early childhood caries,"" sometimes known as baby bottle tooth disease. The baby has extensive tooth decay that begins in the front teeth and spreads to the back teeth.Tooth decay can occur on the exposed root surfaces of the teeth as a result of receding gums in many older people, which allows oral bacteria that cause decay to come into contact with the tooth's root.Cavities can be avoided with good oral care and regular dental cleanings."
Urinary Tract Infection,"Urinary Tract Infection (UTI) is an infection of any part of the urinary system, most commonly the bladder and urethra."
Ulcerative Colitis,"Ulcerative colitis is caused by the alteration in the response of the immune system. Usually, the immune system attacks the intruders in the body like microorganisms causing the common cold. However, in this case, the immune system considers the food, the cells that line the colon, and the gut bacteria as the intruders and attacks them, which are actually needed for the body. It causes inflammation and ulcers in the inner lining of the colon."
Ulcer,"Ulcer is a sore or open lesion that forms on the lining of an organ or skin, most commonly referring to peptic ulcers in the stomach or small intestine."
Uremia,Uremia is a serious medical condition that occurs when waste products build up in the blood due to severe kidney failure.
Urinary Fistula,"Urinary Fistula is an abnormal connection between parts of the urinary system and other organs, such as the vagina, intestines, or skin, allowing urine to leak where it normally should not."
Urinary Incontinence,"Urinary incontinence is also known as loss of bladder control or urine leakage. The kidneys produce urine, store it in the bladder, and are pushed from your bladder through a tube known as the urethra when the muscles in the bladder contract. Sphincter muscles around the urethra relax at the same time to and the urine is excreted ."
Undescended Testis,"Undescended testis, also calledcryptorchidism, sometimes happens to boys as they grow up. It's when one or both testicles don't go down where they should be, inside a bag-like thing called the scrotum, after birth. The scrotum is under the penis. This condition needs to be looked at because it can affect how a child gets healthy and grows."
Varicose Veins,"Varicose veins are enlarged, swollen, and distorted, often blue or dark purple in color. They occur when defective valves in the veins allow blood to flow or pool in the wrong direction. Many people consider it as a cosmetic concern, but for others, it is a painful and uncomfortable condition affecting their daily lives."
Vasculitis,"Vasculitis is the medical term for blood vessel inflammation. It can affect various body parts, and depending on which part is affected, the symptoms will differ. Angiitis and arteritis are other names for vasculitis. Changes in the blood vessel wall include scarring, weakening, narrowing, and thickening. Vasculitis can be either chronic or acute."
Vaginal Candidiasis,"Vaginal candidiasis, also called a vaginal yeast infection or vulvovaginal candidiasis, is a common fungal infection that affects the vagina and vulva in women. It is due to an abnormal proliferation of the fungus Candida, usually Candida albicans."
Waterborne Disease,"Waterborne Disease refers to infectious diseases that are spread through contaminated water containing harmful bacteria, viruses, or parasites."
Yellow Fever,"A specific species of mosquitoes carry the virus that causes yellow fever. Common symptoms in moderate cases include fever, headache,nausea,and vomiting. However, yellow fever can worsen and lead to bleeding, as well as issues with the heart, liver, and kidneys. When yellow fever is more severe, it may cause fatality in up to 50% of cases."
Zika Virus,"Zika Virus is a mosquito-borne viral infection caused by the Zika virus, mainly spread by Aedes mosquitoes."
