Disease,Do_1,Do_2,Do_3,Do_4,Do_5
Nipah Virus Infection,"Seek medical attention if you have signs of Nipah virus infection, such as fever, headache, or respiratory problems, especially if you reside in an outbreak-prone location.",Use hand sanitizer and wash your hands frequently with soap and water.,Protect yourself by wearing personal protective equipment.,Adhere to Infection Control Measures,"Avoid close contact with infected animals, and do not handle or eat sick animals."
Osteoarthritis,Maintain healthy body weight,Do regular low-impact exercise,Use prescribed pain relief,Apply heat or cold therapy,Attend physiotherapy sessions
Osteopenia,Take calcium and vitamin D,Do regular weight-bearing exercise,"Eat balanced, nutritious diet",Get bone density tests,Follow doctor advice
Osteomyelitis,Take rest,Keep diabetes under control,Eat healthy food,Prevent falls,Regular health check-up
Ovarian Cancer,Keep yourself active by doing exercises regularly.,Avoid smoking and tobacco products.,Limit excess alcohol consumption,Consult your doctor if you notice any symptoms persisting for a long time.,
Osteoporosis,Take calcium and vitamin D,Do weight-bearing exercises,Maintain balanced diet,Prevent falls,Attend bone density tests
Osteomalacia,Get adequate sunlight,Consume dairy foods,Include high calcium-rich foods,Exercise daily to maintain a healthy body weight,Take prescribed vitamin supplements
Otitis Media,Take prescribed medicines.,Eat plenty of fruits & vegetables,Keep ears free of ear wax,Dry the ears after taking a shower,Prevent water to enter the ears
Osteogenesis Imperfecta,Handle gently to prevent fractures,Take prescribed calcium/vitamin D,Use protective aids if advised,Attend regular orthopedic follow-ups,Do low-impact exercises
Psoriasis,Use prescribed creams/medicines,Keep skin moisturized,Follow dermatologist advice,Manage stress,Attend regular follow-ups
Parkinson's Disease,Take prescribed medicines on time,Do regular physiotherapy/exercises,Maintain balanced diet,Prevent falls and injuries,Attend regular neurology follow-ups
Periodontitis,Maintain dental hygiene,Limit sugary and junk foods,Avoid smoking and chewing tobacco products.,Frequent dental check-ups,Change your toothbrush every 2-3 months.
Pleural Effusion,Seek medical evaluation early,Treat underlying cause,Take prescribed medicines,Monitor breathing difficulty,Attend follow-up imaging
Pancreatic Cancer,Consult oncologist early,Follow surgery/chemotherapy plan,Maintain proper nutrition,Manage pain and symptoms,Attend regular follow-ups
Pericarditis,Get enough sleep - aim for 7 to 9 hours daily.Eat a healthy and balanced diet; avoid junk food.Engage in regular exercise or practice yoga.Monitor your cholesterol levels regularly.Take precautions to prevent any kind of infection.,,,,
Pelvic Inflammatory Disease,Take prescribed antibiotics fully,Seek early gynecologist care,Rest and stay hydrated,Inform and treat sexual partner(s),Attend follow-up visits
Pancreatitis,Seek immediate medical care,Take prescribed medicines,Follow low-fat diet,Stay well hydrated,Attend regular follow-ups
Prostate Cancer,Consult urologist/oncologist early,Follow treatment plan (surgery/radiation/hormone therapy),Attend regular PSA testing,Maintain healthy diet and activity,Report urinary symptoms early
Peptic Ulcer,Take prescribed ulcer medicines,"Eat small, regular meals",Avoid stress,Drink enough water,Follow doctor advice
Polycythemia,Follow hematologist advice,Monitor hemoglobin/hematocrit,Stay well hydrated,"Take prescribed treatment (e.g., phlebotomy/medicines)",Attend regular follow-ups
Pleurisy,Seek medical evaluation early,Take prescribed pain relievers,Treat underlying infection,Rest adequately,Practice deep breathing exercises
Pityriasis Rosea,Keep skin clean and dry,Use mild soap and moisturizer,Take prescribed antihistamines,Wear loose cotton clothes,Follow doctor advice
Purpura,Include fruits and vegetables in the diet,Take medicines as prescribed by the doctor.,Eat foods containing healthy fats.,Monitor the condition if it worsens,Avoid heavy smoking and drinking
Polio,Ensure complete polio vaccination,Maintain good hygiene,"Drink safe, clean water",Seek medical care for weakness,Support physiotherapy if needed
Polyps,Have regular colon screenings starting at age 50 or earlier if you have a family history of colon cancer or polyps.,"Follow a diet high in fruits, vegetables, and whole grains to reduce your risk of developing polyps.",Exercising regularly to maintain a healthy weight and reduce your risk of polyps.,Take any medications or supplements prescribed by your doctor to prevent or treat polyps.,Inform your doctor of any family history of polyps
Porphyria,Take carbohydrates,Minimize sun exposure,Avoid fasting and dieting,Reduce the emotional stress,
PCOD,Maintain healthy weight,Follow balanced diet,Exercise regularly,Take prescribed medicines,Monitor menstrual cycle
Perimenopause,Get enough sleep,Regular exercise,Eat healthily and maintain weight,Practice stress-reduction techniques like meditation and yoga,"Have citrus fruits (limes, oranges, lemons, grapefruit, citrons, kumquats)"
Psoriatic Arthritis,Eat healthy fats like omega-3 fatty acids,Avoid taking stress,Consult your doctor if you have symptoms,Try yoga,Quit Smoking
Plague,Seek immediate medical care,Take prescribed antibiotics fully,Isolate patient if advised,Control rodents and fleas,Follow public health guidelines
Pertussis,Take prescribed antibiotics,Isolate patient to prevent spread,Maintain vaccination status,Drink adequate fluids,Seek care if breathing worsens
Peyronie's Disease,Consult urologist early,Follow prescribed treatment,Monitor penile curvature,Use pain relief as advised,Attend regular follow-ups
Ringworm Infection,Wear cotton clothes. Try purchasing clothes that have 100% cotton linen.,Bath 2 times a day.,Wash your clothes and towel properly.,Use antifungal powders after bathing.,"Keep your pets clean, maintain their hygiene and check if they have any infections."
Rabies,Visit a doctor immediately after being bitten by an animal or pet.,Rinse the wound with water and soap immediately.,Make sure your pet gets all vaccines.,Educate your children about rabies and how to take care of your pet.,Wash your hands after feeding or cleaning pets.
Rickets,Increase intake of dairy products.,Make sure women have good vitamin D levels during pregnancy.,Encourage kids to exercise and eat calcium-rich foods.,Make sure kids get enough vitamin D.,
Rheumatic Fever,Take antibiotics as prescribed by the doctor,"Include fresh fruits, vegetables, grain, and lean meat products in the diet",Drink sufficient fluids during fever,Get a prompt evaluation for future sore throats.,Exercise regularly to maintain healthy body weight
Restless Leg Syndrome,Maintain regular sleep routine,Do gentle leg stretching,Stay physically active,Take prescribed medicines,Reduce stress
Reiters Syndrome,Take medications on time,Reduce the intake of foods high in saturated fats.,Get plenty of rest,Participate in joint-friendly physical activities.,Apply heating pads to aching joints
Rubella,Get vaccinated against rubella (MMR vaccine),"If you are infected, isolate yourself. Avoid close contact with infected people",Get proper rest,"Donâ€™t share personal items like utensils, cups",
Rosacea,Moisturize everyday,Cleanse your face twice a day very gently,Keep your skincare routine simple,Apply sunscreen before going outside,Cover your face in cold weather
Scabies,Apply prescribed scabicide fully,Treat all close contacts,Wash clothes and bedding in hot water,Maintain personal hygiene,Trim nails short
Syphilis,Use condoms and/or dental dams if you have sex.,Maintain high level of personal hygiene,Get Tested for STDs if you see symptoms,Using the antibiotics prescribed,"Tell your partner, about past and present sexual partners who may have Syphilis."
Sepsis,Seek emergency medical care immediately,Start antibiotics and IV fluids early,Monitor vital signs closely,Treat source of infection,Follow ICU/hospital care strictly
Strep Throat,Take prescribed antibiotics fully,Rest and stay hydrated,Gargle with warm salt water,Maintain hand hygiene,Visit doctor if symptoms worsen
Spondylosis,Maintain correct posture,Do prescribed spine exercises,Use firm mattress,Take physiotherapy if advised,Attend regular check-ups
Sickle Cell Anemia,Drink plenty of water.,Eat a healthy diet,Consume fruits that are good for hemoglobin.,Exercise regularly.,Take folic acid supplements
Skin Cancer,Check skin regularly for new or changing moles,Use sunscreen (SPF 30+),Wear protective clothing,Seek dermatologist consultation early,Follow treatment and follow-ups
Sexually Transmitted Diseases,"Use a latex condom every time you have vaginal, oral, or anal sex",Notice if any changes or symptoms you experience,Maintain good personal hygiene,Talk with your partner about his or her sexual history,Use the antibiotics prescribed.
Scleroderma,Take enough sleep for at least 7 to 9 hours.,Eat healthy food and avoid junks.,Regular exercises or yoga advised by the therapist.,Protect your skin and take good care of it.,Keep the thickened skin or sores warm.
Scurvy,Regular dental check-ups,Regular health check-ups,Take vitamin C supplements,Adapt healthy lifestyle habits,Eat a nutritious diet
Swine flu,Get your H1N1 vaccination done.,Stay at home once you get diagnosed with swine flu.,Cover your nose and mouth while sneezing or coughing.,Take doctor-prescribed medicines for swine flu on time,Inform your doctor if you have breathing problems.
Scarlet Fever,Take prescribed antibiotics fully,Maintain good hand hygiene,Drink plenty of fluids,Get adequate rest,Consult doctor if rash or fever worsens
Scalp Psoriasis,Use shampoos that contain tar or salicylic acid.,Avoid using hair products containing harmful chemicals.,Use hair products containing natural ingredients only.,Bath in lukewarm water.,Moisturize your scalp with prescribed lotions and ointments.
Salmonella Infection,"Wash hands after using the washroom and changing diapers, and before eating any food.","Make sure that children with diarrhea, wash their hands carefully and frequently.","Wash hands properly after contact with farm animals, pets.",Wash fruits and vegetables before eating.,Drink water that is clean and purified.
Swimmer's Ear,Use hydrogen peroxide to clean your ears,Use cloth to dry the ears,Wear ear plugs or bathing caps while swimming in water,Avoid sticking any objects into the ear,Use ear drops to loosen the wax
Sciatica,Exercise regularly,Consider physical rehabilitation,Strengthen your back muscles to prevent sciatica,Avoid slouching,Use heat or cold compress to relieve sciatica pain
Scoliosis,Exercise and stretch regularly to strengthen your core & back.,Maintain an active lifestyle,Use a good quality mattress,Start the treatment early,Change your sitting positions to avoid stress on your spine
Small Pox,Monitor the symptoms if you suspect the condition,Eat a healthy balanced diet,Take vaccines as scheduled by your doctor,Isolate yourself to avoid spreading the infection,Drink plenty of fluids
Spinal Stenosis,Consult the Experts,Follow Medications and Physiotherapy advice strictly,Maintain a healthy weight,Pay attention to good posture/Ergonomics,Consume calcium-rich foods
Typhoid,Take prescribed antibiotics,Drink boiled or clean water,"Eat light, soft food",Maintain good hygiene,Take complete rest
Thalassemia,Eat home cooked food only.,Drink plenty of water to stay hydrated.,"Maintain good hygiene, keep your surroundings clean.",Continue to take your medication till the time it has been prescribed for.,Wash your hands before eating anything.
Tuberculosis,Take TB medicines daily (DOTS),Complete full treatment course,Cover mouth while coughing,Maintain good nutrition,Attend regular follow-ups
Type 2 Diabetes,Monitor blood sugar regularly,Take medicines/insulin as prescribed,Follow diabetic diet,Exercise regularly,Attend regular check-ups
Testicular Cancer,Perform regular testicular self-examination,Seek early urologist/oncologist care,Follow surgery and treatment plan,Attend regular follow-ups,Report pain or swelling immediately
Throat Cancer,Seek early ENT/oncologist consultation,"ollow surgery, radiation, or chemotherapy plan",Stop tobacco and alcohol completely,Maintain proper nutrition,Attend regular follow-ups
Tetanus,Seek immediate medical care,Take tetanus immunoglobulin if advised,Receive tetanus vaccination/booster,Clean wound properly,Follow hospital treatment strictly
Thrombophlebitis,Elevate the affected limb,Apply warm compresses,Take prescribed medicines,Stay physically active,Monitor redness and swelling
Trigeminal Neuralgia,Use cold or hot fomentation to relax the facial muscles,Keep your mental health in check,Cover your face in cold and hot climatic conditions,Take your prescribed medications without fail,Eat food that is soft and easy to chew
Tetralogy of Fallot,Seek early cardiologist care,Plan corrective heart surgery,Monitor oxygen saturation,Give knee-chest position during cyanotic spells,Attend regular cardiac follow-ups
Toxoplasmosis,Visit a doctor immediately after being bitten by a cat,Wear gloves while gardening,Wash your hands and keep them clean,Wash fruits and vegetables before eating,Make sure your pet gets all vaccines
Tendinitis,Warm up before physical activity,Gradually increase the intensity and duration of exercise,Use proper form and technique for physical activity,Take breaks and switch to low-impact activities if experiencing pain,Seek professional medical treatment if needed
Thrombosis,Take prescribed blood thinners,Stay physically active,Keep well hydrated,Follow doctor advice,Attend regular check-ups
Tapeworm Infection,Take prescribed deworming medicine,Wash hands properly,Eat well-cooked food,Drink clean water,Maintain personal hygiene
Tennis Elbow,Stop the activity that is causing the discomfort for 1-2 weeks,Massage your arm,Use pillows under your arm while sleeping to reduce the tension in arm muscles.,Take rest,Avoid injuries and take precautions
Thyroid Cancer,Follow oncologist advice,Take prescribed medicines,Attend regular follow-ups,Monitor hormone levels,Maintain healthy diet
Thyroid Disease,Take thyroid medicines regularly,Get thyroid tests done,Eat balanced diet,Follow doctor advice,Attend regular check-ups
Tinea Pedis,Avoid wearing closed shoes in warm and moist environments,Dry your toes in between after bath,Change socks frequently,Use prescribed antifungal medications on the affected area,Practice good foot hygiene practices
Turner Syndrome,Include fruits and vegetables in the diet.,Work with a mental health professional.,Get screened regularly.,,
Thoracoabdominal Aortic Aneurysm,Take prescribed medicines,Control blood pressure,Attend regular scans,Follow doctor advice,Seek help for sudden pain
Tooth Decay,Brush teeth twice daily,Use fluoride toothpaste,Rinse mouth after meals,Visit dentist regularly,Eat calcium-rich food
Urinary Tract Infection,Drink plenty of water,Keep your genital area clean,Urinate after intercourse,Use safe birth control methods,"Wear clean, breathable undergarments"
Ulcerative Colitis,Take your medications on time.,Eat small meals in a day.,Drink a lot of water and stay hydrated.,Take proper rest.,Some regular exercises or yoga.
Ulcer,Take prescribed medicines,"Eat small, regular meals",Avoid stress,Drink adequate water,Follow doctor advice
Uremia,Stay hydrated,Limit the intake of tea and coffee,Avoid potassium-rich foods,Exercise regularly,
Urinary Fistula,Drink plenty of liquids,Eat a balanced diet,Keep your genital area clean,Check for any urinary tract abnormalities,Wear clean undergarments
Urinary Incontinence,Practice pelvic floor exercises,Take your medicine as directed.,"Avoid bladder irritants like acidic foods, caffeine, and alcohol",Avoid drinking excessive water before sleeping,Take precautionary steps as advised by the doctor
Undescended Testis,Consult a doctor if you suspect undescended testis.,Follow the recommended treatment plan.,Communicate openly with healthcare professionals.,Attend regular follow-up appointments.,Keep the scrotum area clean and dry.
Varicose Veins,Exercise regularly,Eat a healthy diet,Elevate legs,Use Compression stockings,Massage your feet
Vasculitis,Eat a healthy and balanced diet,Exercise regularly,"Limit sugar, fat and alcohol and maintain a healthy weight","Eat lean protein like chicken, low-fat dairy and fish.",Eat calcium or vitamin D supplements as recommended by the doctor
Vaginal Candidiasis,Consult your healthcare providerIt's important to seek medical advice if you suspect a yeast infection. Your healthcare provider can confirm the diagnosis and recommend the appropriate treatment.,Use prescribed medicationsYour healthcare provider may prescribe antifungal medications to treat your yeast infection. Make sure you use them as directed and complete the entire course of treatment.,"Keep the vagina clean and dryAvoid using scented products, such as soaps and bubble baths, which can irritate the vagina. Instead, wear cotton underwear and change them regularly to keep the area dry.",Practice safe sexUsing good quality condoms during sexual intercourse is beneficial to prevent the spread of yeast infections.,
Waterborne Disease,Drink boiled or purified water,"Wash hands before eating
",Eat freshly cooked food,Maintain personal hygiene,Seek medical care early
Yellow Fever,Visit a doctor immediately if your symptoms persist,Use mosquito repellent,Get vaccinated against yellow fever,Wear protective clothing,Wash your hands after cleaning the garden or plants
Zika Virus,Put tight lids on all water tanks and containers.,Sleep under mosquito nets,Use safe insect repellents on your skin.,Wear long and loose clothes to protect yourself from mosquito bites.,Avoid traveling to high risk regions having Zika virus outbreaks.
