Disease,Dont_1,Dont_2,Dont_3,Dont_4,Dont_5,Dont_6,Dont_7,Dont_8,Dont_9,Dont_10
Nonalcoholic Fatty Liver Disease,Avoid sugary foods and beverages which can contribute to fat accumulation.,Refrain from consuming excessive amounts of saturated and trans fats.,"Do not drink alcohol excessively, even though it's ""nonalcoholic"" fatty liver disease.",Avoid crash diets or rapid weight loss which can stress the liver.,Stay away from over-the-counter painkillers and certain other medications that can strain the liver.,"Don't consume too many refined carbohydrates, like white bread and pastries.","Avoid or limit red meat intake, which can be harder to process for some with liver issues.","Do not ignore potential symptoms of liver disease, such as fatigue or abdominal discomfort",,
Nipah Virus Infection,Avoid consuming raw date palm sap.,Do not handle or touch dead bats or their body fluids since they can spread the Nipah virus.,"Avoid contact with Nipah virus affected people, especially if they have respiratory symptoms, to avoid person-to-person transmission.","Avoid sharing personal objects such as cutlery, towels, or clothing with infected people.",Avoid large crowds.,"If you suspect Nipah virus infection, seek medical attention right once because early diagnosis and treatment are important for improved outcomes.",,,,
Osteoarthritis,Avoid excessive joint strain,Do not ignore joint pain or stiffness,Avoid prolonged sitting or standing,Do not skip exercises,Do not self-medicate long term,,,,,
Osteopenia,Avoid smoking,Do not consume excess alcohol,Avoid sedentary lifestyle,Do not skip supplements,Do not ignore bone pain,,,,,
Osteomyelitis,Ignore osteomyelitis symptoms,Gain weight,Smoke and consume alcohol,Do strenuous physical activities,Eat processed and junk foods,,,,,
Ovarian Cancer,Avoid skipping the medicines prescribed by the doctor.,"Include processed meats , junk and canned foods in the diet.",Avoid regular cancer screenings,Skip your scheduled doctor consultations.,,,,,,
Osteoporosis,Avoid smoking,Do not consume excess alcohol,Avoid high-risk falls,Do not skip medicines,Do not ignore fractures,,,,,
Osteomalacia,Do high-impact exercises,"Drink alcohol, and smoke cigarettes",Consume caffeinated products.,Eat fatty and oily foods,Eat excessive salty foods.,,,,,
Otitis Media,Let water enter the ears,Over-medicate,"Get exposed to loud, noisy activities and places.",Eat foods containing artificial colors & sweeteners.,Use unwanted objects to clean the ears.,,,,,
Osteogenesis Imperfecta,Avoid rough handling,Do not lift heavy weights,Avoid high-impact activities,Do not skip treatments,Do not ignore bone pain,,,,,
Psoriasis,Do not scratch skin lesions,Avoid harsh soaps,Do not stop treatment suddenly,Avoid smoking and alcohol,Do not ignore flare-ups,,,,,
Parkinson's Disease,Do not skip medicines,Avoid sudden stopping of drugs,Do not ignore tremors or stiffness,Avoid unsafe walking surfaces,Do not miss follow-ups,,,,,
Periodontitis,Smoke or chew tobacco,Ignore brushing your teeth twice a day,Eat more sweet foods.,Eat hot and cold food items together,Ignore any underlying symptoms that needs a check-up,,,,,
Pleural Effusion,Do not ignore shortness of breath,Avoid delaying drainage if advised,Do not skip medicines,Avoid smoking,Do not miss follow-ups,,,,,
Pancreatic Cancer,Do not ignore jaundice or weight loss,Avoid delaying diagnosis,Do not skip treatment,Avoid self-medication,Do not miss follow-up visits,,,,,
Pericarditis,"Avoid deep-fried, oily, or outside food.Do not skip your prescribed medications.Never forget to wear a mask while going outside.Don't miss your routine medical check-ups.Do not overuse painkillers without medical advice.",,,,,,,,,
Pelvic Inflammatory Disease,Do not stop antibiotics early,Avoid sexual activity during treatment,Do not ignore pelvic pain or fever,Avoid self-medication,Do not delay treatment,,,,,
Pancreatitis,Avoid alcohol completely,Do not eat fatty foods,Do not ignore severe abdominal pain,Avoid smoking,Do not delay treatment,,,,,
Prostate Cancer,Do not ignore urinary problems,Avoid delaying diagnosis or treatment,Do not skip follow-ups,Avoid self-medication,Do not stop treatment without advice,,,,,
Peptic Ulcer,Avoid spicy and acidic food,Do not take painkillers unnecessarily,Avoid alcohol and smoking,Do not skip medicines,Do not ignore stomach pain,,,,,
Polycythemia,Do not ignore headache or dizziness,Avoid smoking,Do not skip blood tests,Avoid dehydration,Do not stop treatment suddenly,,,,,
Pleurisy,Do not ignore chest pain,Avoid strenuous activity,Do not skip medicines,Avoid smoking,Do not delay treatment,,,,,
Pityriasis Rosea,Avoid scratching rash,Do not use harsh soaps,Avoid excessive sun exposure,Do not self-medicate,Do not ignore worsening rash,,,,,
Purpura,Take blood thinners without consulting the doctor,Eat concentrated foods as they may interfere with clotting.,Eat foods containing high amounts of saturated fats.,Eat processed foods and canned foods,Treat the condition by yourself,,,,,
Polio,Do not skip vaccination doses,Avoid unsafe water or food,Do not ignore limb weakness,Avoid poor sanitation,Do not delay medical help,,,,,
Polyps,Ignore symptoms related to polyps.,"Smoke or use tobacco products, as they increase your risk of polyps cancer.",Consume excessive amounts of alcohol.,Delay seeking medical attention if you notice any abnormal symptoms.,Assume that polyps are always benign and do not need to be removed.,,,,,
Porphyria,"Have refined sugars, corn syrup, or highly processed foods",Use medications known to trigger acute attacks,Smokes,Take alcohol or recreational drugs,,,,,,
PCOD,Avoid junk and sugary food,Do not skip medicines,Avoid sedentary lifestyle,Do not ignore irregular periods,Avoid self-medication,,,,,
Perimenopause,Smoke,Consume alcohol,"Get exposed to triggering factors that cause hot flashes (e.g. coffee, tea, alcohol, etc.)",Avoid doctor consultations if you experience symptoms,"Take highly refined carbs and sugar, saturated and trans - fats",,,,,
Psoriatic Arthritis,Ignore the condition and mild symptoms,Forget your emotional health,Have saturated and trans fat in your diet,Have frequent OTC Medicines without doctor’s advice,Have negative attitude regarding the health.,,,,,
Plague,Do not ignore sudden fever or swollen nodes,Avoid contact with infected animals,Do not stop antibiotics early,Avoid self-medication,Do not delay treatment,,,,,
Pertussis,Do not skip antibiotics,Avoid close contact with infants,Do not ignore severe coughing,Avoid smoking exposure,Do not delay medical care,,,,,
Peyronie's Disease,Do not ignore penile pain or curvature,Avoid forceful sexual activity,Do not self-medicate,Avoid delaying medical care,Do not skip follow-ups,,,,,
Ringworm Infection,Wear synthetic clothes or a tight-fitting dress that does not allow air to pass.,Scratch or rub the infection.,"Share your clothes, towels or any other personal items.",Self-medicate for treating infections with over-the-counter medications.,Try any home remedies that burn the infection and leave scars.,Leave your infections untreated.,,,,
Rabies,Self treat after a pet bites.,Forget to clean affected skin every 3-4 hours.,Forget to take medications.,Use any antimicrobial ointments on the wound without asking the doctor.o,Forget to go for routine checkups.,Apply cow dung to the wound for better healing.,"Apply turmeric, chillies, salt and ghee to the wound.",,,
Rickets,Avoid any new and sudden symptoms.,Avoid medications prescribed by the doctor.,Avoid taking the diet prescribed by the doctor.,Start self-medicating without consulting the doctor.,,,,,,
Rheumatic Fever,Eat excessive amounts of sugar and processed foods,Eat foods containing gluten,Self medicate without consulting the doctor,Skip the doctor's appointment,Consume alcohol and smoke,,,,,
Restless Leg Syndrome,Avoid caffeine and alcohol,Do not ignore sleep disturbance,Avoid prolonged sitting,Do not self-medicate,Do not skip follow-ups,,,,,
Reiters Syndrome,Consume too much sugar,Consume alcohol and tobacco,Use affected joints to do any work,Perform strenuous exercises,Take stress,,,,,
Rubella,Avoid taking MMR vaccine,Miss taking your medications,Travel to rubella-infested countries or areas,Take alcohol and smoking,,,,,,
Rosacea,Taking too much stress,Drink alcohol,"Consume too much caffeine, spicy foods, and hot beverages",Wear a wool scarf made of rough fabrics that tend to irritate the neck and face.,"Rub, scrub, or massage your face too often or too vigorously",,,,,
Scabies,Do not stop treatment early,Avoid close skin contact,Do not reuse unwashed clothes,Do not ignore persistent itching,Avoid self-medication,,,,,
Syphilis,Have sexual contact with someone who has it.,Prefer sex without completing the treatment.,Share your personal products with others,Stop medication without completing the course.,Have multiple sex partners if you have symptoms.,,,,,
Sepsis,"Do not ignore fever, confusion, or low BP",Do not delay hospital treatment,Avoid self-medication,Do not skip antibiotics,Do not miss follow-up care,,,,,
Strep Throat,Do not stop antibiotics early,Avoid close contact with others,Do not ignore fever or sore throat,Avoid sharing food or utensils,Do not delay medical care,,,,,
Spondylosis,Avoid poor posture,Do not lift heavy weights,Avoid sudden movements,Do not ignore pain or stiffness,Do not skip treatment,,,,,
Sickle Cell Anemia,Smoke,Use non-prescription medicines.,Go out in extreme heat or cold temperature.,Wait for your symptoms to get worse.,Forget to take regular checkups and doctor appointments.,,,,,
Skin Cancer,Do not ignore changing moles or sores,Avoid excessive sun exposure,Do not use tanning beds,Avoid delaying biopsy or treatment,Do not skip follow-ups,,,,,
Sexually Transmitted Diseases,Use condoms lubricated with spermicides.,Have sexual intercourse without completing the treatment.,Have sexual intercourse with multiple partners,Ignore screening tests for STDs if you suspect infection,Stop medication without completing the course.,,,,,
Scleroderma,Forget to clean affected skin.,Forget to take medications.,Forget to cover your skin while going out.,Forget to go for routine checkups.,Do smoking.,Go for cosmetic procedures that tighten your skin or boost your skin's collagen levels.,,,,
Scurvy,Consume alcohol,Smoke,Use illegal drugs,Lead a sedentary lifestyle,Eat unhealthy foods,,,,,
Swine flu,Interact directly with your family members.,Depending on face masks.,Smoke and drink alcohol,Go out in crowded places,Drink less fluid,,,,,
Scarlet Fever,Do not stop antibiotics early,Avoid close contact with others,Do not ignore sore throat or rash,Avoid sharing utensils,Do not delay medical treatment,,,,,
Scalp Psoriasis,Scratch the sore patches of the scalp.,Drink excessive alcoholic drinks and smoke.,Wear dark coloured clothes.,Use hot water directly on the scalp.,Ignore new symptoms and flare-ups.,,,,,
Salmonella Infection,Drink unpasteurized (raw) milk.,"Eat raw, unwashed meat.",Eat half-cooked food.,Forget to clean hands after touching animals with diarrheal illness.,Eat food without washing hands,,,,,
Swimmer's Ear,Scratch your ears roughly,Use cotton swabs or tissues to clean or dry your ears,Swim in polluted swimming pools,Swallow the water you swim,Ignore any new persisting symptoms,,,,,
Sciatica,Sit for extended periods,Twist your spine,Do activities that might strain your back,Lift heavy weights before warming up,Do high impact exercises,,,,,
Scoliosis,Lift or carry heavy things,Run long distances on hard surfaces like roads or sidewalks,"Sleep on your stomach,",Do any back extension exercises,Do excessive swimming,,,,,
Small Pox,Get in contact with healthy individuals if you have the condition,Eat spicy and oily foods,Self medicate without consulting the doctor,Pop the lesions,Scratch the lesions,,,,,
Spinal Stenosis,Lift heavy weights,Self neglect and Skip/Avoid doctor consultation,Self medicate,Obesity/Sedentary lifestyle,Eating unhealthy/junk foods,,,,,
Typhoid,Do not stop medicines early,Avoid street food,Do not drink unsafe water,Do not ignore fever,Avoid strenuous activity,,,,,
Thalassemia,"Don’t eat junk food, oily or deep fried food.",Don’t eat leftover food or cold food.,Don’t stand in direct sunlight.,Don’t stop taking your medicine.,Don’t take foods that distress your digestive system.,,,,,
Tuberculosis,Do not stop medicines early,Avoid close contact if infectious,Do not ignore cough >2 weeks,Avoid smoking and alcohol,Do not miss doses,,,,,
Type 2 Diabetes,Do not skip medicines,Avoid sugary foods,Do not ignore symptoms,Avoid smoking and alcohol,Do not miss follow-ups,,,,,
Testicular Cancer,Do not ignore testicular lump,Avoid delaying medical consultation,Do not skip treatment,Avoid self-medication,Do not miss follow-up visits,,,,,
Throat Cancer,Do not ignore persistent sore throat or hoarseness,Avoid smoking and chewing tobacco,Do not delay diagnosis or treatment,Avoid self-medication,Do not miss follow-up visits,,,,,
Tetanus,Do not ignore muscle stiffness or spasms,Avoid delaying wound treatment,Do not skip vaccination,Avoid loud noise or bright light,Do not self-medicate,,,,,
Thrombophlebitis,Do not massage the affected vein,Avoid prolonged immobility,Do not ignore pain or swelling,Avoid tight clothing,Do not stop medicines suddenly,,,,,
Trigeminal Neuralgia,Get exposed to triggering factors like extreme hot or cold climatic conditions,Sleep or put a strain on the affected side,Use artificial sweeteners in your diet,Consume foods containing gluten,Skip meals to avoid pain,,,,,
Tetralogy of Fallot,Do not ignore blue discoloration (cyanosis),Avoid strenuous activity,Do not delay surgery if advised,Avoid dehydration,Do not miss cardiac check-ups,,,,,
Toxoplasmosis,Self treat this condition,"Eat undercooked food, meat etc.",Forget to take medicines on time,Forget to go for routine checkups,Take unpasteurized milk or raw fruits,,,,,
Tendinitis,Participate in activities that consistently cause pain,Overuse the affected limb,Use heat on the affected area without first consulting a doctor,"Neglect proper form, and technique",Engage in activities that involve repetitive motions that could worsen the condition.,,,,,
Thrombosis,Do not sit for long periods,Avoid smoking,Do not skip medicines,Avoid tight clothing,Do not ignore swelling or pain,,,,,
Tapeworm Infection,Do not eat raw meat,Avoid contaminated food,Do not skip medicines,Avoid poor sanitation,Do not ignore symptoms,,,,,
Tennis Elbow,Perform any activity that involves extending or rotating the wrist.,Apply chemical cold packs to your skin.,Overdo sports or physical activities.,Avoid taking prescribed medicines.,Do exercises that hurt you.,,,,,
Thyroid Cancer,Do not skip treatment,Avoid self-medication,Do not ignore neck lump,Avoid missed check-ups,Do not delay surgery if advised,,,,,
Thyroid Disease,Do not skip medicines,Avoid self-medication,Do not ignore symptoms,Avoid excess iodine intake,Do not miss follow-ups,,,,,
Tinea Pedis,Avoid foot hygiene,Visit public places with barefoot,Keep touching or scraping the skin infection.,Wear dirty and damp socks,Wear same shoes everyday,,,,,
Turner Syndrome,Take medications without consulting the doctor.,Eat processed foods and canned foods,Avoid Turner syndrome symptoms,,,,,,,
Thoracoabdominal Aortic Aneurysm,Avoid heavy lifting,Do not smoke,Avoid sudden exertion,Do not skip follow-ups,Do not ignore chest/abdominal pain,,,,,
Tooth Decay,Avoid sugary foods,Do not skip brushing,Avoid frequent snacking,Do not ignore tooth pain,Avoid tobacco products,,,,,
Urinary Tract Infection,Drink excessive alcohol or caffeine,Ignore hygiene after sexual activity,Use sprays or powders in the genital area,"Consume spicy, junk food, or citrus fruits",Delay urinating when you feel the urge,,,,,
Ulcerative Colitis,Avoid spicy and oily food,"Consume more than 2 cups of milk, cottage cheese, pudding, or yoghurt per day",Consume frozen and processed meats,Consume raw vegetables with high fibre content.,"Consume spicy sauces, pickles, etc.","Consume foods and beverages that contain caffeine, cocoa, and alcohol",,,,
Ulcer,Avoid spicy food,Do not take painkillers unnecessarily,Avoid alcohol and smoking,Do not skip medicines,Do not ignore pain,,,,,
Uremia,Take medications that damage the kidneys.,Have salty foods,Smoke,Drink alcohol,,,,,,
Urinary Fistula,Drink excess alcohol and caffeine,"Eat bakery items such as pastries, food made of refined flour, hydrogenated oils, etc.",Ignore cleaning your genitals after sexual activity,Take any over-the-counter medications without consulting the doctor,Use sprays or powders in the genital area,,,,,
Urinary Incontinence,Drink excessive amounts of alcohol,Eat fruits containing citrus,Smoke,Drink excessively carbonated and caffeinated drinks,Eat highly fatty and processed foods,,,,,
Undescended Testis,Don't delay seeking medical attention.,Don't ignore the condition.,Don't assume it will resolve on its own.,Don't wait to seek help until later.,Don't attempt to force the testicles down.,Don't disregard the advice of medical experts.,Don't let fear prevent seeking medical help.,Don't hesitate to ask questions.,Don't rely solely on home remedies.,Don't neglect follow-up appointments.
Varicose Veins,Do heavy exercises,Eat junk foods,Stand or sit in one position for a long time,Follow fashion statement,Maintain heavy weight,,,,,
Vasculitis,"Eat processed, junk and fatty foods",Smoke cigarettes,Obesity,Consume excess alcohol,Self-medicate without consulting the doctor,,,,,
Vaginal Candidiasis,Use douches or other feminine hygiene productsThese products can disrupt the natural balance of microbes in the vagina and make it easier for yeast to grow.,"Wear tight-fitting clothingTight-fitting pants and underwear can trap moisture and create a warm, moist environment that is ideal for yeast growth.","Use antibiotics unnecessarilyAntibiotics can kill the beneficial bacteria that normally keep yeast in check, making it easier for yeast to grow.","Engage in activities that can lead to increased moisture in the vaginal areaThis includes prolonged sitting, wearing wet clothing, or using hot tubs or saunas. Moisture can create an ideal environment for yeast to grow.",,,,,,
Waterborne Disease,Do not drink contaminated water,Do not ignore diarrhea or fever,Avoid street or uncovered food,Avoid using unsafe ice,Do not delay treatment,,,,,
Yellow Fever,Self treat fever,Forget to close windows or other gaps in the evening,Forget to take medications,Send your child to playing without applying repellents,Forget to go for routine checkups,Go in bushy or dark areas in the evening,,,,
Zika Virus,Allow rainwater to accumulate for mosquitoes to thrive.,"Avoid any sudden symptoms or changes, particularly during pregnancy.",Wear skin tight clothes,Have unprotected sex,Travel to places where Zika disease is present.,,,,,
